in s,C1 in V
-2.96722E-04,-8.799E-01
-2.96717E-04,-8.311E-01
-2.96712E-04,-8.701E-01
-2.96707E-04,-8.506E-01
-2.96702E-04,-8.604E-01
-2.96696E-04,-8.213E-01
-2.96691E-04,-8.604E-01
-2.96686E-04,-8.408E-01
-2.96681E-04,-8.604E-01
-2.96676E-04,-8.506E-01
-2.96670E-04,-8.896E-01
-2.96665E-04,-8.799E-01
-2.96660E-04,-8.701E-01
-2.96655E-04,-8.701E-01
-2.96650E-04,-9.385E-01
-2.96644E-04,-9.287E-01
-2.96639E-04,-9.580E-01
-2.96634E-04,-8.994E-01
-2.96629E-04,-9.775E-01
-2.96624E-04,-1.007E+00
-2.96618E-04,-1.026E+00
-2.96613E-04,-1.036E+00
-2.96608E-04,-1.065E+00
-2.96603E-04,-1.085E+00
-2.96598E-04,-1.114E+00
-2.96592E-04,-1.114E+00
-2.96587E-04,-1.183E+00
-2.96582E-04,-1.183E+00
-2.96577E-04,-1.222E+00
-2.96572E-04,-1.212E+00
-2.96566E-04,-1.300E+00
-2.96561E-04,-1.280E+00
-2.96556E-04,-1.319E+00
-2.96551E-04,-1.300E+00
-2.96546E-04,-1.388E+00
-2.96540E-04,-1.378E+00
-2.96535E-04,-1.427E+00
-2.96530E-04,-1.427E+00
-2.96525E-04,-1.466E+00
-2.96520E-04,-1.476E+00
-2.96514E-04,-1.515E+00
-2.96509E-04,-1.485E+00
-2.96504E-04,-1.544E+00
-2.96499E-04,-1.534E+00
-2.96494E-04,-1.593E+00
-2.96488E-04,-1.573E+00
-2.96483E-04,-1.612E+00
-2.96478E-04,-1.593E+00
-2.96473E-04,-1.642E+00
-2.96468E-04,-1.603E+00
-2.96462E-04,-1.651E+00
-2.96457E-04,-1.603E+00
-2.96452E-04,-1.622E+00
-2.96447E-04,-1.612E+00
-2.96442E-04,-1.642E+00
-2.96436E-04,-1.632E+00
-2.96431E-04,-1.651E+00
-2.96426E-04,-1.593E+00
-2.96421E-04,-1.622E+00
-2.96416E-04,-1.612E+00
-2.96410E-04,-1.583E+00
-2.96405E-04,-1.544E+00
-2.96400E-04,-1.573E+00
-2.96395E-04,-1.534E+00
-2.96390E-04,-1.544E+00
-2.96384E-04,-1.485E+00
-2.96379E-04,-1.534E+00
-2.96374E-04,-1.466E+00
-2.96369E-04,-1.466E+00
-2.96364E-04,-1.417E+00
-2.96358E-04,-1.417E+00
-2.96353E-04,-1.358E+00
-2.96348E-04,-1.397E+00
-2.96343E-04,-1.329E+00
-2.96338E-04,-1.349E+00
-2.96332E-04,-1.261E+00
-2.96327E-04,-1.261E+00
-2.96322E-04,-1.192E+00
-2.96317E-04,-1.212E+00
